Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
GS00180,FIC D621m 1992 s. 43,The mystery on the aztec warrior,"Dixon, Franklin",1992,,4480894332,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00181,FIC D621m 1989 s. 40,Mystery of the desert giant,"Dixon, Franklin",1989,,448089408,New York,"Grosset & Dunlap, Inc.",FIC,174p. ; 19cm.,,
GS00182,FIC D621m 1988 s. 39,The mystery of Chinese junk,"Dixon, Franklin",1988,,448089394,New York,"Grosset & Dunlap, Inc.",FIC,184p. ; 19cm.,,
GS00183,FIC D621m 1980 s. 64,Mystery of smugglers cove,"Dixon, Franklin",1980,,4480437015,New York,"Grosset & Dunlap, Inc.",FIC,181p. ; 19cm.,,
GS00184,FIC D621m 1980 s. 64,Mystert of smugglers cove,"Dixon, Franklin",1980,,4480437015,New York,"Grosset & Dunlap, Inc.",FIC,181p. ; 19cm.,,
GS00185,FIC G621m 1980 s. 63,The mummy case,"Dixon, Franklin",1980,,448437007,New York,"Grosset & Dunlap, Inc.",FIC,180p. ; 19cm,,
GS00186,FIC D621m 1979 s. 60,Mystery of the samurai sword,"Dixon, Franklin",1979,,448436973,New York,"Grosset & Dunlap, Inc.",FIC,179p. ; 19cm.,,
GS00187,FIC D621m 1977s.20,Mystery of the flying xpress,"Dixon, Franklin",1977,,448089203,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 19cm.,,
GS00188,FIC D621m 1973 s. 38,Mystery at devil's paw,"Dixon, Franklin",1983,,448089386,New York,"Grosset & Dunlap, Inc.",FIC,180p. ; 19cm.,,
GS00189,FIC D621m 1972 s. 51,The masked Monkey,"Dixon, Franklin",1972,,448089513,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00190,FIC D621j 1977 s. 56,The jungle pyramid,"Dixon, Franklin",1977,,448089564,New York,"Grosset & Dunlap, Inc.",FIC,180p. ; 19cm.,,
GS00191,R 550 F216 2017,Fantastic earth facts,,2017,,9781786173348,United kingdom,Milese Kelly Ltd.,R,383p. : ill. ; 23cm.,,
GS00192,FIC D621v 1991 s.42,The viking symbol mystery,"Dixon, Franklin",1991,,448089424,New York,"Grosset & Dunlap, Inc.",FIC,175p. ; 19cm.,,
GS00193,FIC D621ph 1974 s.26,The phantom freighter,"Dixon, Franklin",1974,,448089262,New York,"Grosset & Dunlap, Inc.",FIC,181p. ; 19cm.,,
GS00194,FIC D621m 1975 s.54,The msyterious caravan,"Dixon, Franklin",1975,,448089548,New York,"Grosset & Dunlap, Inc.",FIC,182p. ; 19cm.,,
GS00195,FIC D621v 1981 s.66,The vanishing thieves,"Dixon, Franklin",1981,,448437031,New York,"Grosset & Dunlap, Inc.",FIC,179p. : ill. ; 19cm.,,
GS00196,FIC D621t 1997 s. 18,The twisted claw,"Dixon, Franklin",1997,,448089181,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 19cm.,,
GS00197,FIC S8579m 2010,Thea Stilton and the mystery in Paris,"Stilton, Geronimo",2010,,9780545227735,New York,"Scholastic, Inc.",FIC,157p. : ill. ; 14cm.,,
GS00198,FIC S8579g 2014,Thea Silton and the great tulip heist,"Silton, Geronimo",2014,,9780545556286,New York,"Scholastic, Inc.",FIC,157p. : ill. ; 14cm.,,
GS00199,FIC S8579s 2010,Thea Stilton and the secret city,"Silton, Geronimo",2010,,9780545150613,New York,"Scholastic, Inc.",FIC,161p. : ill. ; 14cm.,,
GS00200,FIC S8579t 2015,Thea Stilton and the tropical treasure,"Silton, Geronimo",2015,,9780545835527,New York,"Scholastic, Inc.",FIC,157p. : ill. ; 14cm.,,
GS00201,FIC S8579s 2009,Thea Stilton and the secret of the old castle,"Silton, Geronimo",2009,,9780545341073,New York,"Scholastic, Inc.",FIC,159p. : ill. ; 14cm,,
GS00202,FIC S8579c 2013,Thea Stilton and the chocolate sabotage,"Silton, Geronimo",,,9780545646567,New York,"Scholastic, Inc.",FIC,158p. : ill. ; 14cm.,,
GS00203,FIC S8579v 2015,Thea Stilton and the venice masquerade,"Silton, Geronimo",2015,,9781338159233,New York,"Scholastic, Inc.",FIC,162p. : ill. ; 14cm,,
GS00204,FIC S8579p 2016,Thea Stilton and the phantom of the orchestra,"Silton, Geronimo",2016,,9781338306156,New York,"Scholastic, Inc.",FIC,160p. : ill. ; 14cm,,
GS00205,FIC S8579p 2010,Thea Stilton and the prince's emerald,"Silton, Geronimo",,,9780545341080,New York,"Scholastic, Inc.",FIC,157p. : ill. ; 14cm,,
GS00206,FIC S8579c 2013,Thea Stilton and the chocolate sabotage,"Silton, Geronimo",,,978054564656,New York,"Scholastic, Inc.",FIC,158p. : ill. ; 14cm,,
GS00207,FIC S8579J 2012,Thea Stilton and the journey to lion's den,"Silton, Geronimo",,,9780545556279,New York,"Scholastic, Inc.",FIC,153p. : ill. ; 14cm,,
GS00208,FIC S8579s 2006,Thea Stilton and the secret city,"Silton, Geronimo",,,9780545150613,New York,"Scholastic, Inc.",FIC,161p. : ill. ; 14cm.,,
GS00209,FIC S8579a 2017,Alice in wonderland,"Silton, Geronimo",2009,,9781338052930,New York,"Scholastic, Inc.",FIC,207p. : ill. ; 14cm,,
GS00210,FIC K29 2014,Dear dumb diary: you can bet on that,"Kelly, Jamie",2014,,9780545642576,New York,"Scholastic, Inc.",FIC,133p.: ill.; 20cm,,
GS00211,FIC K25 1998,The Nancy Drew notebook: the clue in th glue,"Keene, Carolyn",1998,,671008161,New York,Pocket Books,FIC,71p.: ill.; 19cm,,
GS00212,FIC G16 2000,Sisters: substitute sister,"Gallagher, Diana",2000,,671040898,New York,Pocket Books,FIC,149p.; 19cm,,
GS00213,FIC S8579i 2005,Thea Stilton and the ice treasure,"Stilton, Geronimo",2005,,9780545331340,New York,"Scholastic, Inc.",FIC,158p.: col. ill.; 20cm,,
GS00214,FIC S8579s 2007,Thea Stilton and the ghost of the shipwreck,"Stilton, Geronimo",2014,,9780545150590,New York,"Scholastic, Inc.",FIC,154p.: col. ill.; 20cm,,
GS00215,FIC H39 2004,The Scarlet letter,"Hawthorne, Nathaniel",2004,,9789715186117,Manila,Lampara Books,FIC,124p.: col. ill.; 20cm,,
GS00216,FIC H67 2007,The three musketeers,"Dumas, Alexandre",2007,,9781402736957,New York,"Sterling Publishing Co., Inc.",FIC,151p. ill.; 20cm,,
GS00217,FIC K57 2010,The jungle book,"Kipling, Rudyard",2010,,9789715183956,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00218,FIC H6311 1995,Strong and true,"Hicks, Laurel",1995,,,,A Beka Book,FIC,125p.: col. ill.; 23cm,,
GS00219,FIC H6311 1995,Strong and true,"Hicks, Laurel",1995,,,,A Beka Book,FIC,125p.: col. ill.; 23cm,,
GS00220,FIC H456 1994,Secrets and surprises,"Hedquist, Marion",1994,,,,A Beka Book,FIC,"v, 186p.: col. ll.; 23cm",,
GS00221,FIC R961p 2011,Dork diaries pop star,"Russell, Rachel Renee",2011,,9780857079794,London,Simon & Schuster UK Ltd.,FIC,311p. : ill.; 20cm,,
GS00222,FIC T96 2009,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00223,FIC T96 2009 c.1,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00224,FIC T96 2009 c.2,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00225,FIC T96 2009 c.3,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00226,FIC T96 2009 c.4,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00227,FIC W89 2005,The adventures of Tom Sawyer,"Twain, Mark",2005,,9781402712166,New York,"Sterling Publishing Co., Inc.",FIC,152p.: ill.; 20cm,,
GS00228,FIC T96 2010,The adventures of Tom Sawyer,"Twain, Mark",2010,,9789715182607,Manila,Lampara Books,FIC,128p.: col. ill.; 20cm,,
GS00229,FIC W67 2012,The picture of Dorian Gray,"Wilde, Oscar",2012,,9789715185097,Manila,Lampara Books,FIC,128p.: col. ill.; 20cm,,
GS00230,R 912.19 K979e 2009,Social studies Philippine and world student atlas: for elementary,Kwan Soo Heo & Chang Hee Kang,2009,,9789710869794,Mandaluyong City,"National Books Store, Inc.",R,"69p. : col. ill, ; 28cm",,
GS00231,FIC W74 2000,The Rugrats files: a travel travel adventure,"Willson, Sarah",2000,,68993425,New York,Simon Spotlight,FIC,142p.; 20cm,,
GS00232,FIC W58 1952,Charlotte's web,"White, E.B",1952,,9780590302715,New York,"Scholastic, Inc.",FIC,183p.: ill.; 20cm,,
GS00233,FIC T96 2009 c.5,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00234,FIC T96 2009 c.6,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00235,FIC T96 2009 c.7,The prince anfd the pauper,"Twain, Mark",2009,,9789715183536,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00236,FIC V53 2011,Around the world in eighty days,"Verne, Jules",2011,,9789715184885,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00237,FIC T81 1996,"I, Juan de Pareja","Trevino, Elizabeth Borton",1996,,374435251,Canada,Douglas & McIntyre Ltd.,FIC,179p.; 20cm,,
GS00238,FIC V53 2011 c.1,Around the world in eighty days,"Verne, Jules",2011,,9789715184885,Manila,Lampara Books,FIC,127p.: col. ill.; 20cm,,
GS00239,FIC FIC S594h 2000,A handful of horrid Henry,"Simon, Francesca",2000,,9781407219790,London,Orion Children's Books,FIC,287p.: ill.; 20cm,,
GS00240,FIC S594t 2003,A triple treat of horrid Henry,"Simon, Francesca",2003,,9781407219776,London,Orion Children's Books,FIC,254p.: ill.; 20cm,,
GS00241,FIC S594h 2001,A helping of horrid Henry,"Simon, Francesca",2001,,9781407219806,London,Orion Children's Books,FIC,270p: ill.; 20cm,,
GS00242,FIC R961h 2011,Dork diaries how to dork your diary,"Russell, Rachel Renee",2011,,9780857079800,London,Simon & Schuster UK Ltd.,FIC,183p.: ill.; 20cm,,
GS00243,FIC R959d 2011,Double dork diaries 2,"Russell, Rachel Renee",2011,,9781471116735,London,Simon & Schuster UK Ltd.,FIC,661p.: ill.; 20cm,,
GS00244,FIC R961d 2011,Dork diaries dear dork,"Russell, Rachel Renee",2011,,9781471119132,London,Simon & Schuster UK Ltd.,FIC,321p.: ill.; 20cm,,
GS00245,FIL 305.899 On2 2007,101 Filipino icons,,,,9789715083027,[Quezon City],"Adarna House and Bench, 2007",FIC,"179 p. : ill. (some col.), maps ; 31 cm.",Includes bibliographical references (p. 168-170) and index.,
GS00246,FIL 959.90 R33 2009,Regional profes: people and places,,2009,,9789715083492,Quezon City,"Adarna House, Inc.",FIC,"203p. : col. ill., maps ; 31 cm.",Includes Index.,
GS00247,FIL 305.899 On21 2009,101 Filipino icons: volume II,,,,9789715083485,[Quezon City],"Adarna House and Bench, 2009",FIC,141 pages : ill. ; 30 cm.,Includes bibliographical references and index.,
GS00248,FIC R961p 2010,Dork diaries party time,"Russell, Rachel Renee",2010,,9780857074768,London,Simon & Schuster UK Ltd.,FIC,279p.: ill.; 20cm,,
GS00249,FIC R961t 2014,Dork diaries TV star,"Russell, Rachel Renee",2014,,9781471145537,London,Simon & Schuster UK Ltd.,FIC,320p.: ill.; 20cm,,
GS00250,FIC R961o 2013,Dork diaries OMG! all about me diary,"Russell, Rachel Renee",2013,,9781471124013,London,Simon & Schuster UK Ltd.,FIC,265p.: ill.; 20cm,,
GS00251,FIC R961d 2011 c.1,Dork diaries dear dork,"Russell, Rachel Renee",2011,,9780857079367,London,Simon & Schuster UK Ltd.,FIC,321p.: ill.; 20cm,,
GS00252,FIC R961p 2010 c.1,Dork diaries party time,"Russell, Rachel Renee",2010,,9780857074768,London,Simon & Schuster UK Ltd.,FIC,279p.: ill.; 20cm,,
GS00253,FIC T969 2015,The prince and the pauper,"Twain, Mark",2015,,9789350553107,,Apple Publishing International Ltd.,FIC,"ix, 174p.: ill.; 22cm",,
GS00254,FIC T969,Adventures of Huckleberry Finn,"Twain, Mark",,,9788131914557,,B. Jain Publishers Ltd,FIC,136p.: ill.; 22cm,,
GS00255,FIC T969 2015,Adventures of Huckleberry Finn,"Twain, Mark",2015,,9789350553084,,Apple Publishing International Ltd.,FIC,171p.: ill.; 22cm,,
GS00256,FIC T969,Adventures of Huckleberry Finn,"Twain, Mark",2015,,9789350553084,,Apple Publishing International Ltd.,FIC,171p.: ill.; 22cm,,
GS00257,FIC T969 2016,The adventures of Tom Sawyer,"Twain, Mark",2016,,9781784043162,,Arcturus Publishing Limited,FIC,222p.; 20cm,,
GS00258,FIC T969 2009,The adventures of Tom Sawyer,"Twain, Mark",2009,,9789715182607,Manila,Lampara Books,FIC,126p.: col. ill.; 20cm,,
GS00259,FIC C3191 2011,Alice's adventures in Wonderland,"Carroll, Lewis",2011,,9789715185233,Manila,Lampara Books,FIC,126p.: col. ill.; 20cm,,
GS00260,FIC T969,Adventures of Huckleberry Finn,"Twain, Mark",,,9788131914557,,B. Jain Publishers Ltd,FIC,136p.: ill.; 22cm,,
GS00261,FIC T969,The adventures of Tom Sawyer,"Twain, Mark",,,978813191453,,B. Jain Publishers Ltd,FIC,144p.: ill.; 22cm,,
GS00262,FIC S8471 2015,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",2015,,9789350553114,,Apple Publishing International Ltd.,FIC,147p.: col. ill.; 22cm,,
GS00263,FIC S5565 2004,Animals in the great outdoors,"Shimmin, Delores",2004,,,,A Beka Book,FIC,166p.: col. ill.; 24cm,,
GS00264,FIC R961b 2018,Dork diaries birthday drama!,"Russell, Rachel Renee",2018,,9781471173158,London,Simon & Schuster UK Ltd.,FIC,295p.: ill.; 20cm,,
GS00265,FIC R961b 2018,Double dork diaries 5,"Russell, Rachel Renee",2018,,9781471182341,London,Simon & Schuster UK Ltd.,FIC,627p: ill.; 20cm,,
GS00266,FIC G85 2010,Help! my parents thinks I'm a robot,"Griffiths, Andy",2010,,9780330454261,London,Macmillan Children's Books,FIC,214p.: ill.; 2cm,,
GS00267,FIC L9606 2007,The curse of the campire weenies,"Lubar, David",2007,,9780765357717,New York,A Tom Doherty Associates Book,FIC,199p.: 20cm,,
GS00268,FIC H7589 2010,Goddess girls: Athena the brain,"Holub, Joan",2010,,9781416982715,New York,Aladdin,FIC,160p.: ill.; 20cm,,
GS00269,FIC O881 2002,Stephen of Philadelphia,"Otis, James",2002,,,A Beka Book,,FIC,152p.: col. ill.; 19cm,,
GS00270,FIC O814 1999,Buffalo before breakfast,"Osborne, Mary Pope",1999,,439086736,New York,"Scholastic, Inc.",FIC,72p.: ill.; 19cm,,
GS00271,FIC P93 2013,The doodles of Sam Dibble,"Press, J.",2013,,9780448461076,New York,"Grosset & Dunlap, Inc.",FIC,113p.: ill.; 20cm,,
GS00272,FIC S89 2012,Uncle Tom's cabin,"Stowe, Harriet Beecher",2012,,9789715186155,Manila,Lampara Books,FIC,124p.: col. ill.; 20cm,,
GS00273,FIC H391 2010,Ghost hunt: chilling tales of the unknown,"Hawes, Jason",2010,,9780316099592,New York,"Little, Brown and Company",FIC,218p.; 21cm,,
GS00274,EB K217,"Quick, smart grammar articles and determiners",Kaushik. Neeti,,,9788189852245,Young Learner Publications,,EB,40p.; 24cm,,
GS00275,EB,My favorite places,,,,8176143738,New York,Specialty Books,EB,16p.; 24cm,,#REF!
GS00276,EB,"Quick, smart grammar prepositions interjections and conjuctions","Kaushik , Neeti",,,9788189852214,,Young Learner Publications,EB,40p.; 24cm,,
GS00277,EB,At my new school,,,,8176143660,New York,Specialty Books,EB,16p.; 24cm,,
GS00278,EB,My senses,,,,8176143790,New York,Specialty Books,EB,16p.; 24cm,,
GS00279,EB,Amazing earth,,,,8176143783,New York,Specialty Books,EB,16p.;24cm,,
GS00280,EB,Learning new colours and shapes,,,,8176143752,New York,Specialty Books,EB,16p.; 24cm,,
GS00281,EB,My freinds,,,,8176143745,New York,Specialty Books,EB,16p.; 24cm,,
GS00282,EB,Delicous food,,,,8176143806,New York,Specialty Books,EB,16p.; 24cm,,
GS00283,EB,I love riding by...,,,,817614377,New York,Specialty Books,EB,16p.; 24cm,,
GS00284,EB,Knowing mammals,,,,8176143813,New York,Specialty Books,EB,16o.; 24cm,,
GS00285,EB,"Quick,smart grammar verbs","Kaushik, Neeti",,,9788189852,,Young Learner Publications,EB,40p.; 24cm,,
GS00286,EB,Big animals,,,,8176143554,New York,Specialty Books,EB,16p.; 24cm,,
GS00287,FIC M37 1998,Fungus,"Martin, S.R",1998,,1863889817,New York,"Scholastic, Inc.",FIC,74p.: ill.; 18cm,,
GS00288,FIC M39 2009,Alice in Wonderland & through the looking-glass,"Mason, EVa",2009,,9781402754227,New York,Sterling Children's Books,FIC,150p.; 20cm,,
GS00289,FIC S51 2010,Black beauty,"Sewell, Anna",2010,,9789715184571,Manila,Lampara,FIC,127p.: col. ill.; 20cm,,
GS00290,FIC T969 2006,The prince and the pauper,"Twain, Mark",2006,,9781416928058,New York,Aladdin Paperbacks,FIC,331p.; 20cm,,
GS00291,FIC L24 1998,Sisters are like sunshine,"Lanese, Janet",1998,,684842521,New York,Fireside,FIC,112p.; 19cm,,
GS00292,FIC O484,Agent Arthur's jungle journey,"Oliver, Martin",,,9780746084342,,,FIC,48p.; 24cm,,
GS00293,EB,Our helpers,,,,817643615,New York,Specialty Books,EB,16p.; 24cm,,
GS00294,EB,Our beautiful world,,,,817614352,New York,Specialty Books,EB,16p.;24cm,,
GS00295,EB,Celebrating my birthday,,,,8176143462,New York,Specialty Books,EB,16p.; 24cm,,
GS00296,EB,I love birds,,,,8176143448,New York,Specialty Books,EB,16p.; 24cm,,
GS00297,EB,A day with my family,,,,8176143547,New York,Specialty Books,EB,16P.; 24cm,,
GS00298,EB,Who am i,,,,8176143530,New York,Specialty Books,EB,16p.; 24cm,,
GS00299,EB,Knowing the colours,,,,8176143479,New York,Specialty Books,EB,16p.;24cm,,
GS00300,EB,Loving my farm animal,,,,8176143455,New York,Specialty Books,EB,16P.;24cm,,
GS00301,FIC M4823 2008,Stella the star fairy,"Meadows, Daisy",2008,,,London,Orchard Books,FIC,179p.: ill.; 20cm,,
GS00302,EB,My healty body,,,,8176143509,New York,Specialty Books,EB,16p.; 24cm,,
GS00303,EB,I love eating,,,,8176143493,New York,Specialty Books,EB,16p.; 24cm,,
GS00304,EB,My family and me,,,,8176143516,New York,Specialty Books,EB,16p.; 24cm,,
GS00305,EB,Which season do you like,,,,8176143486,New York,Specialty Books,EB,16p.; 24cm,,
GS00306,EB,"Qiuck, smart grammar adverbs",,,,9788189851207,,Young learner Publications,EB,40p.; 24cm,,
GS00307,FIC R961c 2017,Dork diaries crush catastrophe,"Russell, Rachel Renee",,,9781471168017,London,Simon & Schus,FIC,256p.; 20cm,,
GS00308,EB,"Quick, smart grammmar pronouns","Kaushik, Neeti",,,9788189852238,,Young learner Publications,EB,40p.; 24cm,,
GS00309,EB,"Quick, smart grammar sentences","Kaushik, Neeti",,,9788189852283,,Young learner Publications,EB,40p.;24cm,,
GS00310,EB,Joy ride,,,,8176143639,New York,Specialty Books,EB,16p.; 24cm,,
GS00311,EB,Land and sea,,,,8176143578,New York,Specialty Books,EB,16p.; 24cm,,
GS00312,EB,My five senses,,,,8176143592,New York,Specialty Books,EB,16p.; 24cm,,
GS00313,GC 516 Sh172,Shapes and colours,,,,8175143622,New York,Specialty Books,GC,16p.; 24cm,,
GS00314,F 823 M995L,My lovely town,,,,8176143608,New York,Specialty Books,FIC,16p.; 24cm,,
GS00315,GC 391 M995c,My clothes,,,,8176143585,New York,Specialty Books,GC,16p.; 24cm,,
GS00316,GC 597.9 K92,Knowing reptiles,,,,8176143820,New York,Specialty Books,GC,16p.; 24cm,,
GS00317,GC 331.702 I11,I want to be...,,,,8176143652,New York,Specialty Books,GC,16p.; 24cm,,
GS00318,GC 612.8 M495,Me and my senses,,,,,New York,Specialty Books,GC,16p.; 24cm,,
GS00319,FIC O81 1996,Sunset of the Sabertooth,"Osborne, Mary Pope",,,590988247,New York,"Scholastic, Inc.",FIC,67p.; 20cm,,
GS00320,FIC O81 1997,Dolphins at daybreak,"Osborne, Mary Pope",,,67988338,New York,"Scholastic, Inc.",FIC,67p.; 20cm,,
GS00321,FIC O81 1993,Mummies in the morning,"Osborne, Mary Pope",,,679824243,New York,"Scholastic, Inc.",FIC,67p.; 20cm,,
GS00322,GC 595.7 In22,Incredible Insects,,,,8176143721,New York,Specialty Books,GC,16p.; 24cm,,
GS00323,GC 516 C719,Colours and shapes,,,,8176143677,New York,Specialty Books,GC,16p.; 24cm,,
GS00324,GC 591.77 Se11,Sea animals,,,,8176143691,New York,Specialty Books,GC,16p.; 24cm,,
GS00325,F 823 It85,Its playtime,,,,8176143684,New York,Specialty Books,FIC,16p : 24cm,,
GS00326,GC 306.85 En61,Enjoying with my family,,,,8176143837,,New York ; Specialty Books,GC,16p.; 24cm,,
GS00327,GC 641.5 M918,Mummy coks for me,,,,8176143714,,New York ; Specialty Books,GC,16p.; 24cm,,
GS00328,GC 331.7 Ev27,Everyday Jobs,,,,8176143707,,New York ; Specialty Books,GC,"16p,; 24cm",,
GS00329,F 823 In11,In my new house,,,,8176143561,New York,Specialty Books,FIC,16p.; 24cm,,
GS00330,FIC O81 1992,Dinosaurs before dark,"Osborne, Mary Pope",,,590623524,New York,"Scholastic, inc.",FIC,67p.; 20cm,,
GS00331,FIC O81 1992,Pirates past noon,"Osborne, Mary Pope",,,590629859,New York,"Scholastic, inc.",FIC,67p.; 20cm,,
GS00332,FIC O81 1992,Night of the ninjas,"Osborne, Mary Pope",,,679863710,New York,"Scholastic, inc.",FIC,67p.; 20cm,,
GS00334,REF 510 P636es 2007,Estimate,"Pike, Katy",2007,,8130905531,,Blake Publishing,REF,12p.; 20cm,,
GS00335,REF 510 P636ca 2007,Capacity,"Pike, Katy",2007,,8130905647,,Blake Publishing,REF,12p.; 20cm,,
GS00336,REF 510 P636ma 2007,Mass,"Pike, Katy",2007,,8130905639,,Blake Publishing,REF,12p.; 20cm,,
GS00337,REF 332.4 P636co 2007,Coins,"Pike, Katy",2007,,8130905574,,Blake Publishing,REF,12P.;20cm,,
